"WEO.Country.Code","Assets","Direct.investment","Portfolio.investment","Financial.derivatives.(other.than.reserves).and.employee.stock.options","Other.investment","Reserve.assets","Liabilities","Direct.investment","Portfolio.investment","Financial.derivatives.(other.than.reserves).and.employee.stock.options","Other.investment","Net.international.investment.position"
514,1255.07600454304,0,0,0,115.136505686845,1139.93949885619,2971.32975760354,170.016306693411,0,0,2801.31345091012,-1716.25375306049
218,20732.0857828038,630.245449448752,5585.70468609522,0.52974832,4433.56949796128,10082.0364009786,20785.0654952226,11603.8109667553,1138.89623485966,NA,8042.35829360758,-52.9797124187243
963,8309.3132644628,472.579911825204,396.327135402196,0.836993654867755,2302.61730625474,5136.95191732581,16702.1170162297,6990.5237014089,151.367734408779,NA,9559.39667104867,-8392.80375176689
616,13506.5362729215,949.016182539937,4240.69241134442,8.39140144627259,1098.39514265971,7210.04113493114,7959.3376627075,5041.75291418244,90.3254444675534,0,2827.25930405751,5547.19861021397
223,829666.633597938,342975.18498093,31596.79536023,730.17946348,89349.72127065,365014.752522648,1413206.66314934,703328.33922522,480467.525176858,250.055517909113,229160.743229356,-583540.029551404
516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
918,48869.7955471215,5203.8,6619.2,56.9,11798.7,25191.1955471215,73813.4184437439,45949.7,6435.1,103.7,21324.9184437439,-24943.6228966224
748,11433.9252277754,1071.77340206699,3535.4228313729,0,6775.78276761715,50.9462267183233,16191.6499517427,2306.64893994464,2643.95894730776,NA,11241.0420644903,-4757.7247239673
618,596.424339286689,2.57558081002493,148.697789279813,NA,349.94237796031,95.2085912365411,2212.75841403486,241.384468698737,3.73832605901966,NA,1967.63561927711,-1616.33407474817
624,1194.3887330394,43.1979596064234,119.855312532136,0,466.303432443413,565.032028457432,3566.46468286822,1727.5887431095,9.30501851465419,0,1829.57092124407,-2372.07594982882
522,18141.9809056087,610.571085934053,523.267728593512,0,10247.5490118711,6760.59307920996,28346.9294203324,18165.5203745956,0,0,10181.4090457368,-10204.9485147238
622,7402.99286803707,680.959492009385,108.777073954543,0,4353.24754015889,2260.00876191425,14315.7543503182,5602.31579371819,826.190569046447,0,7887.24798755352,-6912.76148228111
156,3208587.54830571,1289551.02121985,1296943.39539733,NA,539375.033617785,82718.0980707382,3053100.48280366,1011819.05480629,1449438.50822969,NA,591842.91976769,155487.06550205
626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,350508.2657145,126115.584710518,153105.103275765,4758.15848738333,26036.0816204365,40493.3376203969,394917.049237038,256777.49633004,80686.407770959,4579.52225152572,52873.6228845127,-44408.7835225379
532,4609081.54062765,1744500.38689709,1367234.71756513,110664.044364199,1000483.49239102,386199.028375904,3455257.41552747,1823852.46324478,437293.39695641,106660.562290431,1087450.86407016,1153824.12510018
546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
924,6507045.03368216,1357390,366969.40285513,5170.06232743,1679671.05832801,3097844.51017159,4556676.94353193,2755147.20423381,811057.77471334,6026.36020273,984445.60438205,1950368.09015023
